date,y_true,fcast_ridge,hmean,nr_ridge,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
1999-01-01,0.039,0.011555619692964156,0.011405242990654204,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-02-01,-0.035435,0.01443257460150893,0.011660749999999998,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-03-01,0.035479,0.01133225119659815,0.011228678899082566,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-04-01,0.033259,0.01155610118984126,0.011449136363636361,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-05-01,-0.026859,0.01174599871245086,0.011645621621621617,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-06-01,0.051031,0.0113442828602212,0.011301830357142854,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-07-01,-0.03422,0.0117430988305525,0.011653415929203537,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-08-01,-0.008789,0.011302226273088146,0.011251017543859649,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-09-01,-0.031979,0.011146673344205032,0.011076756521739131,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-10-01,0.060338,0.010762388868057637,0.010705586206896552,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-11-01,0.016922,0.011263293350184852,0.011129794871794873,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-12-01,0.058979,0.011213383624149581,0.011178881355932205,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-01-01,-0.05403,0.011658327927072469,0.011580563025210084,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-02-01,-0.021558,0.011156727748438115,0.011033808333333334,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-03-01,0.094188,0.010802053373678181,0.010764454545454546,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-04-01,-0.036285,0.011687025204214265,0.011448254098360656,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-05-01,-0.026904,0.011272523943176864,0.011060178861788618,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-06-01,0.021219,0.010904927056285272,0.010754016129032259,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-07-01,-0.016795,0.010954540021345953,0.010837736,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-08-01,0.057794,0.010684305115239637,0.010618428571428574,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-09-01,-0.057088,0.011061478358463219,0.010989889763779528,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-10-01,-0.00922,0.01053360112028787,0.010458031250000001,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-11-01,-0.083868,0.010412328971808426,0.010305488372093025,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-12-01,0.00062,0.009580157546407921,0.009581076923076923,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-01,0.027375,0.009574219753025156,0.009512671755725193,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-02-01,-0.096352,0.00973395963124768,0.009647992424242425,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-03-01,-0.067506,0.008755919106315213,0.008851000000000001,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-04-01,0.073625,0.00819772095699036,0.008281171641791044,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-05-01,0.00297,0.008736350213296934,0.0087652,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-06-01,-0.027706,0.008540316484618943,0.008722588235294117,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-07-01,-0.012117,0.008271871485868169,0.008456686131386861,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-08-01,-0.066435,0.00819822584866538,0.008307601449275363,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-09-01,-0.083461,0.007582203985625198,0.007769884892086331,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-10-01,0.01674,0.006952182396235994,0.0071182357142857144,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-11-01,0.076587,0.006905331555755866,0.0071864751773049644,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-12-01,0.007351,0.007424485746565899,0.007675211267605633,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-01-01,-0.015824,0.00746544596552759,0.007672944055944057,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-02-01,-0.020881,0.007275509546150369,0.007509770833333334,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-03-01,0.036272,0.007094279074562315,0.007313972413793104,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-04-01,-0.062301,0.007347420456418915,0.007512315068493152,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-05-01,-0.0093,0.00684016827226978,0.00703739455782313,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-06-01,-0.072749,0.0066495814555443235,0.006927006756756757,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-07-01,-0.075287,0.006145922788612597,0.00639226845637584,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-08-01,0.005561,0.004648202887927322,0.0058477400000000014,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-09-01,-0.110365,-0.00030407715364511685,0.00584584105960265,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-10-01,0.087199,0.007017025804348497,0.00508129605263158,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-11-01,0.057619,0.0013127370986098811,0.005618013071895426,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2002-12-01,-0.060034,-0.005768140720335742,0.005955681818181819,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-01-01,-0.027679,-0.007031155750019685,0.005529941935483872,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-02-01,-0.016246,-0.004545104801120939,0.005317064102564104,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-03-01,0.009408,-0.013003903712532057,0.005179719745222931,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-04-01,0.081774,-0.007892048396363661,0.005206481012658228,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-01,0.052251,0.0040142661061408,0.005688037735849058,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-01,0.011916,-0.0019421110006163948,0.0059790562500000016,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-01,0.016932,0.002478516678286664,0.006015931677018635,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-01,0.018897,0.0024957993028119165,0.006083314814814815,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-01,-0.011437,-0.0009422805085648711,0.006161926380368098,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-01,0.05476,0.013483567052052985,0.006054615853658536,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-01,0.008559,0.011306636355354957,0.0063498,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-01,0.05108,0.014255603622204373,0.00636310843373494,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-01,0.018278,0.01622218093763648,0.006630874251497006,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-01,0.013703,0.018432458941380583,0.006700202380952381,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-01,-0.015582,0.013495155986443921,0.006741639053254438,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-01,-0.016484,0.023065052887496107,0.006610323529411765,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-01,0.012829,0.014621781238166404,0.006475269005847954,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-01,0.018888,0.014588366336500678,0.006512209302325582,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-01,-0.033754,0.004557940312944032,0.006583745664739885,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-01,0.002807,0.012750959732111562,0.006351919540229885,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-01,0.009717,0.013464396937668786,0.006331662857142858,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-01,0.013873,0.009450393529056824,0.006350897727272728,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-01,0.039459,0.00672345604535329,0.006393395480225989,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-01,0.032234,0.009374596661985098,0.006579157303370786,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-01-01,-0.025424,0.0116390787996119,0.006722480446927375,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-02-01,0.019552,0.011785130553354659,0.00654388888888889,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-03-01,-0.01884,0.012891405687011158,0.006615756906077349,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-01,-0.021026,0.015488172730698215,0.006475890109890111,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-05-01,0.029894,0.013082554137883451,0.00632560655737705,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-06-01,-0.000683,0.014162020815819097,0.0064536956521739144,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-07-01,0.035064,0.008975942416473662,0.006415118918918921,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-08-01,-0.011559,0.009577967675599066,0.006569145161290324,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-09-01,0.005067,0.00964081033217448,0.006472203208556151,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-10-01,-0.018572,0.008827909731050618,0.006464728723404256,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-11-01,0.035589,0.013024744885241683,0.00633225925925926,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-12-01,-0.00316,0.008763682618510045,0.006486242105263159,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-01-01,0.023242,0.007970436637859913,0.0064357382198952885,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-02-01,-0.001075,0.00889083784059345,0.006523270833333334,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-03-01,0.009509,0.014609664396658588,0.006483901554404146,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-04-01,0.008364,0.010612977403036855,0.006499494845360824,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-05-01,-0.031919,0.006912788512876656,0.006509056410256409,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-06-01,-0.002713,0.010268047881545658,0.006312994897959182,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-07-01,0.001571,0.009315523753729063,0.006267177664974618,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-08-01,0.02015,0.008378624015919937,0.006243459595959595,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-09-01,0.022287,0.0070933482321206345,0.006313341708542712,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-10-01,0.028427,0.006762772538988774,0.006393209999999998,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-11-01,0.014285,0.007953221572448004,0.006502830845771143,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2006-12-01,0.009568,0.006716253264165449,0.006541356435643563,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-01-01,0.011313,0.007167725858527008,0.006556266009852215,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-02-01,-0.023688,0.007276468133717113,0.006579583333333331,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-03-01,0.007094,0.008815298473323041,0.006431936585365852,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-04-01,0.039691,0.009598712552367801,0.006435150485436892,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-05-01,0.030059,0.007535978169959731,0.006595806763285022,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-06-01,-0.02072,0.012563115812121719,0.006708610576923075,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-07-01,-0.035197,0.012959637121751405,0.006577373205741624,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-08-01,0.011094,0.01312443299627582,0.006378447619047619,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-09-01,0.033268,0.012253991807773425,0.006400796208530806,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-10-01,0.01416,0.011679478269688032,0.006527528301886793,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-11-01,-0.044582,0.006571125078616822,0.006563361502347418,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-12-01,-0.009516,0.006347265666327579,0.006324364485981309,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-01,-0.063866,0.006203915772405423,0.006250688372093024,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-02-01,-0.033519,0.0058680171587333265,0.005926074074074074,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-03-01,-0.0047,0.005662585103314088,0.0057442995391705064,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-04-01,0.046929,0.005608400444494123,0.005696389908256881,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-01,0.011186,0.005751414288520297,0.0058846666666666665,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-01,-0.084642,0.0058306931287483415,0.005908763636363636,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-07-01,-0.009006,-0.005666398463903558,0.005499031674208144,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-08-01,0.013455,-0.008227141892354023,0.005433693693693693,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-09-01,-0.086767,-0.004878434153793222,0.0054696636771300435,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-10-01,-0.16848,0.009885147629396074,0.005057892857142856,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-11-01,-0.074312,-0.03773406581427361,0.004286613333333332,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-01,0.011695,-0.04336818029639015,0.003938831858407079,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-01-01,-0.082615,-0.020107766922856107,0.003972999999999999,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-02-01,-0.103588,-0.03130592218382456,0.003593228070175438,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-03-01,0.087534,-0.041585652310174664,0.0031251877729257635,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-04-01,0.09403,-0.03184188421837509,0.0034921826086956515,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-05-01,0.05454,-0.004195877362272282,0.003884121212121211,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
